job_id,title,search_role,company,location,country,salary_min,salary_max,contract_type,created_date,description
5595966140,Data Analyst,Data Analyst,Eleveight Group,France,France,,,,2026-01-22T20:13:48Z,"Le poste Poste basé à : Casablanca Mode d'intervention : Hybride Type de contrat : CDI Démarrage : ASAP Niveau d'étude demandé : Bac5 Descriptif du poste Êtes-vous à la recherche d'un nouveau challenge ? Nous vous invitons à rejoindre Eleveight ! Nous recherchons pour notre compte un Data Analyst qui aura comme missions ce qui suit. Collecter, nettoyer et structurer les données issues de différentes sources Analyser les données afin d’identifier tendances, anomalies et insights business Concevo…"
5758614486,Data Analyst,Data Analyst,Hitapps,France,France,,,,2026-06-10T17:21:18Z,"What are you working on? Genres: Casual, Puzzle, Word Games Platforms: iOS, Android  Hitapps is a GameDev company specializing in Puzzle Games. We have several successful products in both categories with a combined total of over 150M downloads, and we are regularly featured in the top charts in the Games section. Our culture is built on transparency, we are results-oriented and respect the improvement. Currently, we are in search of a Data Analyst , whom we will entrust with analytics for our p…"
5745458678,data analyst,Data Analyst,Infotel,"Neuilly-sur-Seine, Nanterre",France,,,,2026-05-30T11:35:11Z,"Data analyst (H/F) Île-de-France Disponibilité : selon préavis Le Groupe Depuis plus de 45 ans, Infotel accompagne les grandes entreprises dans leurs enjeux IT et de transformation digitale. Avec plus de 3 400 collaborateurs et chiffre d’affaires de 294,5 M€ en 2025, le groupe intervient sur des projets structurants dans des secteurs clés tels que la banque, l’assurance et l’industrie. Sa force repose sur un modèle intégré combinant expertises techniques et métiers : OAIO, cabinet de conseil en…"
5700927244,Data Analyst,Data Analyst,ASSYSTEM,France,France,,,,2026-04-16T04:14:25Z,"Position Summary Company Description Assystem is an international company with one mission: accelerate the energy transition around the world. Every day, our 6,500 switchers located in 12 countries (Europe, Middle East, Pacific Asia & Africa) connect their six thousand billion neurons to tackle the task of the century: switching to low-carbon energy. We are a collective committed to the actors who are making the energy switch. Sharing our knowledge, expertise and values allows us to innovate an…"
5726667424,Data Analyst,Data Analyst,Armée de l’air et de l’espace,France,France,,,,2026-05-12T11:32:13Z,"Être militaire, c’est servir l’État, au sein des Armées, en portant l’uniforme. Cela implique discipline, disponibilité et loyauté. Le sens de l’adaptation et le goût de l’effort sont des qualités indispensables. Être officier, c’est être en situation de responsabilité, en particulier auprès du personnel placé sous ses ordres. Cela suppose d’avoir le sens de l’humain et une certaine forme d’exigence vis-à-vis de soi-même. CTAAE/BNUM Base aérienne 106 – Bordeaux-Mérignac UNITÉ Nouveau grand comm…"
5743805965,Data analyst (h/f),Data Analyst,Mailinblack,"Allauch, Marseille",France,,,,2026-05-28T22:43:40Z,"À propos de Mailinblack Rejoignez Mailinblack, le leader français de la cybersécurité.  Depuis 2003, nous protégeons les entreprises en plaçant l’humain au cœur de la cybersécurité. Avec U-Cyber 360 , notre offre phare, nous accompagnons plus de 22 500 clients et avons bloqué près de 150 millions de cyberattaques en 2025 . Nous sommes aujourd’hui 110 collaborateurs à Marseille, et nous cultivons un environnement où l’innovation , le respect et la confiance guident chacune de nos actions. Pour a…"
5726695809,Data Analyst,Data Analyst,Armée de l’air et de l’espace,"Toulouse, Haute-Garonne",France,,,,2026-05-12T11:39:44Z,"Être militaire, c’est servir l’État, au sein des Armées, en portant l’uniforme. Cela implique discipline, disponibilité et loyauté. Le sens de l’adaptation et le goût de l’effort sont des qualités indispensables. Être officier, c’est être en situation de responsabilité, en particulier auprès du personnel placé sous ses ordres. Cela suppose d’avoir le sens de l’humain et une certaine forme d’exigence vis-à-vis de soi-même. CDE/BNUM TOULOUSE Le Commandement de l’Espace (CDE) a été créé le 3 septe…"
5737147859,Data analyst - h/f,Data Analyst,CH Chaumont,"Haute-Marne, Grand-Est",France,,,permanent,2026-05-22T03:51:17Z,"Description entreprise : Le Centre Hospitalier de Chaumont est un établissement situé en Haute-Marne, connu pour la diversité de ses soins. Il propose des services spécialisés en médecine, chirurgie, obstétrique, pédiatrique, gériatrie,un service d'urgence ainsi qu'un plateau technique en rééducation. De plus, l'EHPAD Centre Jean-François Bonnet de Riaucourt est rattaché au Centre Hospitalier. Des projets de modernisation sont en cours, avec la construction d’un nouvel hôpital. Description du p…"
5751185880,Data Engineer DataIku - Services Financiers – Lille,Data Engineer,Sopra Steria,"Villeneuve-d'Ascq, Lille",France,,,,2026-06-03T23:54:07Z,"Description de l'entreprise Sopra Steria , acteur majeur de la Tech en Europe, avec 51 000 collaborateurs dans près de 30 pays, est reconnu pour ses activités de conseil, de services et solutions numériques. Il aide ses clients à mener leur transformation digitale et à obtenir des bénéfices concrets et durables. Le Groupe apporte une réponse globale aux enjeux de compétitivité des grandes entreprises et organisations, en combinant une connaissance approfondie des secteurs d’activité et des tech…"
5763330477,DATA ENGINEER,Data Engineer,Ministère des Armées,"Malakoff, Antony",France,,,permanent,2026-06-14T09:10:59Z,"- Concevoir, développer et maintenir des chaines de traitement et d'enrichissement des données ; - S'assurer de la qualité des données et traiter les demandes exprimées par les utilisateurs ; - Analyser les besoins des utilisateurs au regard des capacités fournies par les outils décisionnels. Concevoir, en fonction, des univers décisionnels, des d'entrepôts de données, réaliser les tests de bon fonctionnement ; - Participer à l'administration et à la maintenance des bases de données ; - Créer, …"
5752465087,Data Engineer Talend / PostgreSQL – Défense & Sécurité – Île-de-France,Data Engineer,Sopra Steria,"Courbevoie, Nanterre",France,,,,2026-06-05T00:02:58Z,"Description de l'entreprise Sopra Steria, acteur majeur de la Tech en Europe, avec 51 000 collaborateurs dans près de 30 pays, est reconnu pour ses activités de conseil, de services et solutions numériques. Il aide ses clients à mener leur transformation digitale et à obtenir des bénéfices concrets et durables. Le Groupe apporte une réponse globale aux enjeux de compétitivité des grandes entreprises et organisations, en combinant une connaissance approfondie des secteurs d’activité et des techn…"
5726702507,Data Engineer,Data Engineer,ADVANCED SCHEMA,France,France,,,,2026-05-12T11:41:37Z,"ADVANCED SCHEMA est une société de services informatiques spécialisée dans la donnée. Depuis 23 ans, nous créons des plateformes data sur mesure pour nos clients, orientées usages et alliant qualité, performance, sécurité et gouvernance. ADVANCED SCHEMA a développé de nouvelles activités pour réaliser l'ambition du groupe : devenir une entreprise end-to-end, en proposant une offre à 360° à nos clients pour les accompagner à chaque étape de leurs projets. À ce jour, nous sommes près de 250 passi…"
5749735300,Senior Data Engineer Snowflake H/F - Sopra Steria Next,Data Engineer,Sopra Steria,"Courbevoie, Nanterre",France,,,,2026-06-03T00:03:45Z,"Description de l'entreprise Sopra Steria Next est la marque de conseil en transformation digitale du Groupe Sopra Steria. Ses 3 400 consultants en Europe conçoivent des stratégies visionnaires, réellement actionnables et s'engagent sur des résultats tangibles pour les entreprises, leurs collaborateurs et leurs clients. Sopra Steria Next fait partie du Groupe Sopra Steria, acteur majeur de la Tech en Europe, reconnu pour ses activités de conseil, de services numériques et d'édition de logiciels.…"
5733889766,AWS Data Engineer,Data Engineer,WHIZE,"Neuilly-sur-Seine, Nanterre",France,,,,2026-05-19T11:34:10Z,"Welcome To The World Of Whizdom! Whize est une filiale du groupe Neurones (7000 collaborateurs en France), spécialisée dans le domaine de la Data Intelligence et du développement de solutions sur mesure en architecture Serverless. Notre positionnement se décline en 3 offres : Modern BI : expertise sur toute la chaine décisionnelle (Power BI, Tableau, AZURE Data Factory) Data Engineering : Manipulation et préparation de la Data en utilisation Python et SQL avancé. Développement en Cloud Native: …"
